REGION,BRANCHNAME,ITEMID,PURITY,FINISH,SHAPE,THEME,BRAND,WORKSTYLE,STOCK_COUNT,SALE_COUNT
West,BR-Ahmedabad-01,PRD00217,22,HighPolish,Round,Floral,Essentials,Handcrafted,12,0
West,BR-Ahmedabad-01,PRD00254,18,Textured,Mixed,Floral,Essentials,KundanInspired,3,1
West,BR-Ahmedabad-01,PRD00221,14,Matte,Round,Minimalist,House,Handcrafted,15,0
West,BR-Ahmedabad-01,PRD00290,14,Textured,Princess,Contemporary,House,Handcrafted,12,2
West,BR-Ahmedabad-01,PRD00250,14,Textured,Oval,Minimalist,Signature,Handcrafted,9,3
West,BR-Ahmedabad-01,PRD00033,14,TwoTone,Mixed,Minimalist,Signature,Handcrafted,8,4
West,BR-Ahmedabad-01,PRD00167,18,TwoTone,Round,Minimalist,Essentials,Filigree,19,1
West,BR-Ahmedabad-01,PRD00188,14,Matte,Mixed,Floral,Essentials,KundanInspired,7,4
West,BR-Ahmedabad-01,PRD00165,18,TwoTone,Princess,Geometric,Essentials,KundanInspired,6,0
West,BR-Ahmedabad-01,PRD00121,22,Matte,Oval,Floral,House,Cast,14,3
West,BR-Ahmedabad-01,PRD00154,14,Textured,Princess,Minimalist,House,Handcrafted,19,1
West,BR-Ahmedabad-01,PRD00243,18,Matte,Round,Geometric,Essentials,Cast,6,4
West,BR-Ahmedabad-01,PRD00139,18,TwoTone,Round,Geometric,Signature,Cast,12,1
West,BR-Ahmedabad-01,PRD00289,18,Textured,Oval,Minimalist,Signature,Cast,3,0
West,BR-Ahmedabad-01,PRD00198,14,TwoTone,Round,Contemporary,Essentials,Cast,3,3
West,BR-Ahmedabad-01,PRD00228,18,HighPolish,Princess,Traditional,House,KundanInspired,2,1
West,BR-Ahmedabad-01,PRD00116,22,Textured,Mixed,Traditional,House,Handcrafted,8,1
West,BR-Ahmedabad-01,PRD00058,22,Matte,Princess,Floral,Essentials,Filigree,0,0
West,BR-Ahmedabad-01,PRD00074,14,TwoTone,Princess,Geometric,House,KundanInspired,16,4
